cod_imovel,municipio,cod_estado,geometry
GO-5207600-E22FF9A4A75344D3994CB002B90B6686,Fazenda Nova,GO,"MULTIPOLYGON (((-51.2445275 -15.95345306, -51.24469 -15.95375806, -51.24507556 -15.95381611, -51.2455325 -15.95345333, -51.24612361 -15.95358833, -51.24623889 -15.95407360999999, -51.24689443999998 -15.95428694, -51.24743694 -15.95496139, -51.24810528 -15.95549361, -51.24872917 -15.95609306, -51.24938139 -15.95641667, -51.250124169999985 -15.95704472, -51.250191669999985 -15.957085, -51.25044194 -15.9573025, -51.25114889 -15.95795083, -51.25180194 -15.95793361, -51.25241389 -15.95858083, -51.252903889999985 -15.95877833, -51.25269778 -15.959528329999978, -51.25237417 -15.96001583, -51.25247028 -15.96048639, -51.25254389 -15.96056528, -51.25311111 -15.96097889000001, -51.25372138999999 -15.96116722, -51.25434278 -15.96121833, -51.25362943999998 -15.96161333, -51.2519 -15.96257111, -51.25182556 -15.962611939999984, -51.24886194 -15.9648425, -51.249165 -15.96572139, -51.25034139 -15.965881939999989, -51.2515 -15.96605028, -51.25283639 -15.96645306000001, -51.25372028 -15.96673389, -51.254485 -15.96693, -51.25566139 -15.96760222, -51.25623917 -15.96783917, -51.25713806 -15.96834222, -51.25767305999999 -15.96865333, -51.25789 -15.96888667, -51.25815639 -15.96899222, -51.25860278 -15.969338329999989, -51.25915806 -15.969769719999988, -51.2598175 -15.97023917, -51.26073805999999 -15.97075778, -51.26158583 -15.97139639, -51.26241361 -15.97187472, -51.26292056 -15.97238639, -51.26387 -15.97284611, -51.26471277999999 -15.97317917, -51.26565722 -15.973728610000014, -51.26642056 -15.97409639, -51.26781639 -15.97435111, -51.26870667 -15.97399693999998, -51.27045667 -15.972153609999989, -51.27121444 -15.97130528, -51.272335 -15.9704325, -51.27306333 -15.969865, -51.27379610999998 -15.969306389999987, -51.27456028 -15.96869639, -51.27516361 -15.96821056, -51.27567666999999 -15.96765639, -51.27618805999999 -15.9671625, -51.27690417 -15.966429439999974, -51.27774694 -15.96543972, -51.27835666999999 -15.96479694, -51.279067220000016 -15.96395417, -51.279508609999986 -15.96349611, -51.27988194 -15.963066389999982, -51.27377249999998 -15.955655, -51.27347361 -15.95530778, -51.270805 -15.95220722, -51.26923222 -15.952515, -51.25977667 -15.95436639, -51.25916721999999 -15.954079439999983, -51.257036669999984 -15.957345, -51.25772833 -15.95759861, -51.25808694 -15.95790278, -51.256987219999985 -15.957423059999988, -51.25644667000001 -15.957225, -51.2565 -15.9576725, -51.25628583 -15.95807472, -51.25340639 -15.95863028, -51.25305056 -15.95868889, -51.2528525 -15.958561669999984, -51.25231056 -15.95821611, -51.25184583 -15.95771417, -51.25102028 -15.95766889, -51.24989472 -15.95653528, -51.24897472 -15.95581944, -51.24883860999998 -15.95574917, -51.24895167 -15.95523028, -51.24853832999999 -15.954618330000018, -51.24949278 -15.95423, -51.24937333 -15.95389611, -51.24933972 -15.95380333, -51.24926528 -15.9537525, -51.24906389 -15.95384083, -51.24874667000001 -15.9539975, -51.24863778 -15.953773609999987, -51.24841278 -15.95386944, -51.24831666999998 -15.953916939999987, -51.24743833 -15.95434361, -51.24720472 -15.95420833, -51.247163329999985 -15.95358139, -51.24742194 -15.95248222, -51.24736444 -15.95243583, -51.247099169999984 -15.95355861, -51.24714139 -15.95418583, -51.2462375 -15.95345222, -51.24548139 -15.95327944, -51.24500722 -15.953618329999987, -51.2446175 -15.95324278, -51.24394444 -15.95278278, -51.24388639 -15.95274417000001, -51.24342861 -15.951563329999988, -51.24317528 -15.95177778, -51.243760559999984 -15.95297139, -51.24382444 -15.95305194, -51.2445275 -15.95345306)), ((-51.20062249999998 -15.95207722, -51.201145 -15.95459222000002, -51.20254444 -15.95385667, -51.20372222 -15.95314556, -51.20417249999998 -15.95277694, -51.20482833 -15.95255, -51.20547167 -15.952177499999985, -51.20599556 -15.95195389, -51.206685 -15.949396389999988, -51.20564139 -15.94974444, -51.20382833 -15.95046306, -51.20201332999998 -15.95139, -51.20062249999998 -15.95207722)), ((-51.24864027999999 -15.94833972, -51.24875721999999 -15.94846806, -51.24841611 -15.949291390000012, -51.24827694 -15.9500025, -51.24784083 -15.95028583, -51.24743278 -15.95163056, -51.24713443999999 -15.95216250000001, -51.24744889 -15.95237028, -51.24781333 -15.95261361, -51.24746694 -15.95164417, -51.247875 -15.95029972, -51.24831028 -15.95002417, -51.24844944 -15.949306670000011, -51.248801939999986 -15.94845556, -51.249055279999986 -15.948462779999987, -51.24929139 -15.94748944, -51.24966417 -15.947418329999987, -51.24975111 -15.94659444, -51.24972444 -15.946569169999982, -51.248851669999986 -15.947265559999982, -51.24923583 -15.94750194, -51.24864027999999 -15.94833972)), ((-51.2015875 -15.94444944, -51.20162722 -15.94503667, -51.20203582999998 -15.95130306, -51.20385082999998 -15.95037611, -51.20566417 -15.9496575, -51.20670111 -15.94933722, -51.20783750000001 -15.945116670000012, -51.20793 -15.94477306, -51.20798 -15.9445875, -51.20761610999999 -15.94436444, -51.20717166999999 -15.94433, -51.20689528 -15.9444025, -51.20683222 -15.94444639, -51.20672943999999 -15.944325, -51.206475 -15.9445725, -51.206221939999985 -15.94455806, -51.205762219999976 -15.94475667, -51.20547 -15.944840279999989, -51.205815 -15.945425280000013, -51.20501083 -15.94500472, -51.20503444 -15.94569556000001, -51.20483222 -15.94615139, -51.20442306 -15.945702499999989, -51.20349361 -15.9454025, -51.20341778 -15.944855, -51.20290389 -15.94479861, -51.20262332999999 -15.94461888999998, -51.20248889 -15.94439722, -51.20220693999999 -15.94437972, -51.20214471999998 -15.94441333, -51.20183917 -15.94454, -51.20160806 -15.94394139, -51.20157833 -15.9443325, -51.2015875 -15.94444944)), ((-51.25469194 -15.95155194, -51.25499111 -15.95177917, -51.25534083 -15.95122389, -51.25718111 -15.95015722, -51.25716278 -15.95004028, -51.257125 -15.94982722, -51.25704333 -15.94938639, -51.25728667 -15.947542779999988, -51.25697722 -15.94697139000001, -51.25688556 -15.942173329999989, -51.25543611000001 -15.942085559999986, -51.25518167 -15.94493194, -51.25497889 -15.947300829999987, -51.253833329999985 -15.94797361, -51.25424611 -15.94943083, -51.25468944 -15.95102611, -51.25468778 -15.95149833, -51.25469194 -15.95155194)), ((-51.23024222 -15.93904917, -51.23027417 -15.93905472, -51.23008944 -15.93851944, -51.23006111 -15.93852443999998, -51.22968277999998 -15.938965, -51.23024222 -15.93904917)), ((-51.25210167 -15.93821028, -51.25553028 -15.938698329999989, -51.25467332999999 -15.93672583, -51.25334306 -15.93636778, -51.25138639 -15.93584, -51.25092917 -15.935870829999988, -51.251265 -15.93651444, -51.25139249999998 -15.93660417, -51.25147416999998 -15.93672167, -51.25145055999999 -15.93685833, -51.25153917 -15.93702472, -51.25152139 -15.93746722, -51.25139611 -15.93767056, -51.25155694 -15.93813639, -51.25210167 -15.93821028)), ((-51.237401939999984 -15.92821139, -51.23735417 -15.92892306, -51.23773389 -15.92871167, -51.23850611 -15.92913722, -51.23877722 -15.92947639, -51.23902028 -15.929596939999982, -51.23924667 -15.92970472, -51.23959972 -15.9302675, -51.23994083 -15.93047917, -51.240395 -15.93119778, -51.24056361 -15.93217556, -51.23980221999999 -15.93359972, -51.23990667 -15.93366361, -51.23981556 -15.933974169999985, -51.24066333 -15.93424111, -51.24100306 -15.93421806, -51.24122389 -15.932544439999987, -51.24132944 -15.93183611, -51.24180611 -15.93125638999998, -51.24225583 -15.93118806, -51.24273806 -15.93085972, -51.24305111 -15.93084667, -51.243351109999985 -15.93087167, -51.243559719999986 -15.93087139, -51.24396417 -15.93098444, -51.24431639 -15.93098389, -51.24464249999998 -15.93102139, -51.24490360999999 -15.93110944, -51.24511222 -15.93115972, -51.245373059999984 -15.93108361, -51.24573611 -15.93106333, -51.24613583 -15.931297499999989, -51.24703861 -15.931826939999986, -51.24768943999999 -15.93103528, -51.24806221999999 -15.927458610000015, -51.24651556000001 -15.92771111, -51.24655666999998 -15.92810306, -51.24612722 -15.928636109999989, -51.24521722 -15.928804720000015, -51.24452361 -15.92866917, -51.24397028 -15.928817780000015, -51.243745 -15.9290275, -51.24346444 -15.929548890000014, -51.24364444 -15.928805559999986, -51.2437875 -15.92829278, -51.2440475 -15.92722389, -51.24408694 -15.92664111, -51.24438778 -15.92634917, -51.24415111 -15.92569111, -51.24388528 -15.92577833, -51.23774667 -15.92777361, -51.23740278 -15.92789083, -51.237401939999984 -15.92821139)))"
GO-5212204-011050C9BC804D77A80A4F161A120C5A,Jussara,GO,"POLYGON ((-51.39209032058716 -15.712351706411308, -51.39195888890001 -15.7120324995, -51.39172554016113 -15.712310394663888, -51.3915753364563 -15.712620232565396, -51.3903294444 -15.7134108328, -51.39311583329999 -15.7163958328, -51.398585 -15.7217811106, -51.39945416669999 -15.7206502773, -51.40135027780001 -15.7209358328, -51.40172481536865 -15.721026987691513, -51.4021355556 -15.7210538884, -51.4020927778 -15.7208966662, -51.4008322222 -15.7194072217, -51.3977769444 -15.7175880551, -51.3939356803894 -15.715656619054462, -51.3922127778 -15.712776944, -51.39209032058716 -15.712351706411308))"
GO-5212204-0E3C72FBAFCA4422AE312548AA7331C0,Jussara,GO,"POLYGON ((-51.29250499999997 -15.892556939999992, -51.29212721999999 -15.892401110000012, -51.29180888999997 -15.89267389, -51.29161721999998 -15.89265332999999, -51.29151194 -15.89252916999999, -51.29105193999999 -15.89251360999999, -51.29032693999999 -15.892419719999992, -51.28944166999997 -15.892650559999987, -51.28557721999999 -15.90186861, -51.28740277999997 -15.90262056000001, -51.28879167 -15.90320277999998, -51.291025 -15.898283330000002, -51.29418639 -15.893146940000012, -51.29379222 -15.893301109999971, -51.29371333000001 -15.89317443999999, -51.29364443999998 -15.893057500000001, -51.29322693999999 -15.892983060000002, -51.29307832999999 -15.89270917, -51.29264888999999 -15.89244944000001, -51.29250499999997 -15.892556939999992))"
GO-5212204-0F4C0661AD054C0883A19B9670A7A0F0,Jussara,GO,"POLYGON ((-51.388062997 -15.7109848779, -51.38790282709999 -15.7111250185, -51.3881171721 -15.7113528194, -51.3880590222 -15.7115966539, -51.3881953824 -15.7117958444, -51.3881757954 -15.7119502905, -51.3881597493 -15.7122988293, -51.3881468261 -15.7125222424, -51.3880655599 -15.7126833976, -51.3881027415 -15.7128008577, -51.3879915815 -15.7130460521, -51.38810689089999 -15.713168436, -51.3881859415 -15.7133649258, -51.387966387 -15.7135416955, -51.3879553771 -15.7135927034, -51.3880322725 -15.7136860452, -51.3878078226 -15.7145311857, -51.3877501244 -15.7147677869, -51.3876840653 -15.7149263836, -51.3878086921 -15.7150892525, -51.3876922812 -15.7154704246, -51.3878006981 -15.7155996013, -51.3877978381 -15.7157651374, -51.3877001285 -15.7162141703, -51.3875605488 -15.7161892855, -51.3875664073 -15.7164245986, -51.3875505658 -15.7166352697, -51.3874461697 -15.7167076883, -51.387494843 -15.7170284482, -51.3874785623 -15.7173523972, -51.38718416830001 -15.7173415284, -51.3869335685 -15.7177864925, -51.3870932032 -15.7180021864, -51.3870673336 -15.7182899904, -51.38714295930001 -15.718352778, -51.3870875596 -15.7185224755, -51.387216094 -15.7186283827, -51.3871320573 -15.7188068097, -51.3868839677 -15.7187039169, -51.3869568711 -15.7188572045, -51.38668265379999 -15.7189551466, -51.3864649564 -15.7188832986, -51.38638532509999 -15.7191215656, -51.3865091454 -15.719202349, -51.3862984658 -15.7194865022, -51.38627443189999 -15.7194120513, -51.3860134621 -15.7195569795, -51.3859712955 -15.7198155211, -51.38604678310001 -15.7200029774, -51.3858769732 -15.7201830021, -51.3855698733 -15.7202668978, -51.3852013045 -15.7206196747, -51.3852313772 -15.7207289209, -51.38518864740001 -15.7211353654, -51.3852530728 -15.721247444, -51.38524636210001 -15.7214013246, -51.3852507647 -15.7217570593, -51.3849985366 -15.7220855828, -51.3850510614 -15.7221229177, -51.38500265730001 -15.7223908722, -51.38484881539999 -15.7223777636, -51.38478214509999 -15.7227102991, -51.3846839655 -15.7229142443, -51.3845228188 -15.7229379431, -51.3845478359 -15.7232377713, -51.3841021938 -15.7234569737, -51.3839660427 -15.7236702066, -51.38382587869999 -15.7240332471, -51.3835229028 -15.7241298799, -51.38349532040001 -15.7242536923, -51.3833951181 -15.7243255593, -51.38352961860001 -15.7245760152, -51.3833630486 -15.7247448221, -51.383346434 -15.7249439224, -51.38342249360001 -15.725137978, -51.3837316012 -15.7254735594, -51.3837444828 -15.725772957, -51.3838248412 -15.7259694458, -51.3839075525 -15.7260767011, -51.3839483568 -15.7261846629, -51.3840379494 -15.7262781645, -51.38396397999999 -15.7265024078, -51.38416302630001 -15.7266786178, -51.3842323846 -15.7267825514, -51.3842419857 -15.7270741799, -51.3844403193 -15.7272680198, -51.3843398738 -15.7276086607, -51.3844441813 -15.7278832166, -51.3847211943 -15.72797467, -51.384753489 -15.7281731416, -51.38457092300001 -15.7286223225, -51.3846300781 -15.7289586138, -51.3845655883 -15.7291115113, -51.3845630953 -15.7294737671, -51.38455645730001 -15.7298654116, -51.3844668492 -15.7300628324, -51.3846245781 -15.7303035732, -51.3845049363 -15.7305622509, -51.38444957150001 -15.7309023602, -51.3845770561 -15.7309925401, -51.38453751789999 -15.7311120343, -51.3846437141 -15.7312480869, -51.3845443528 -15.7313716643, -51.38469557610001 -15.7316764229, -51.3848677849 -15.7318732012, -51.3849791802 -15.7319444243, -51.385010724 -15.7320409208, -51.3851721154 -15.7320938842, -51.38531302400001 -15.732273631, -51.3851455024 -15.7327328205, -51.38540665930001 -15.7330746311, -51.3854036871 -15.733429384, -51.3854707272 -15.7336885459, -51.38545471140001 -15.7341056105, -51.3854206848 -15.7345744184, -51.3855613096 -15.7349492585, -51.38573051230001 -15.7350843854, -51.3907538925 -15.7304028858, -51.3919939236 -15.72924276, -51.3941609648 -15.7272042115, -51.3948649362 -15.7264873868, -51.3955804071 -15.72558973, -51.3985850741 -15.7217811249, -51.3931133179 -15.7163970544, -51.3905972374 -15.7136981075, -51.3903294817 -15.7134109184, -51.3902670084 -15.713343769, -51.388172322 -15.7111019386, -51.388062997 -15.7109848779))"
GO-5212204-118F8241E57F4C21AF20F2486C2316F9,Jussara,GO,"POLYGON ((-51.4538922144 -15.711125822, -51.4503729824 -15.7111960096, -51.4488790957 -15.7129725336, -51.4470804774 -15.7141515851, -51.446634733 -15.7144755021, -51.4478481981 -15.7157424718, -51.4475494817 -15.7227823005, -51.44725937390001 -15.7236225161, -51.44721508026122 -15.723836047157072, -51.44717216491699 -15.724269795530756, -51.447107791900635 -15.724600269861615, -51.4469779164 -15.7250502439, -51.44697915530001 -15.7251688695, -51.4475998664 -15.7251031484, -51.4476375226 -15.7251008653, -51.4482572212 -15.7255281086, -51.4488610792 -15.7229640849, -51.44976854324341 -15.722989202429826, -51.4528941359 -15.7158648205, -51.4538922144 -15.711125822))"
GO-5212204-1388D04145DA42C49E1692A41D96CDB5,Jussara,GO,"POLYGON ((-51.306560039520264 -15.919795733690297, -51.30465030670165 -15.920930638842119, -51.304993629455566 -15.923241698599083, -51.30540132522583 -15.923055989422657, -51.305551528930664 -15.923448041927037, -51.30510091781616 -15.923695653640722, -51.30561590194702 -15.923840093666046, -51.30658149719238 -15.92417024190527, -51.30913496017456 -15.924892439286248, -51.30793333053588 -15.922952817583777, -51.310572624206536 -15.921116349983746, -51.313254833221436 -15.919259230841005, -51.31469249725341 -15.91828939513114, -51.31606578826904 -15.91725764987449, -51.31550788879394 -15.916617965154455, -51.31462812423706 -15.916494154973398, -51.314263343811035 -15.91583383271924, -51.3142204284668 -15.915214778635113, -51.308534145355225 -15.918619552494205, -51.306560039520264 -15.919795733690297))"
"","","",POINT (-51.39127228109898 -15.539711049431583)
GO-5212204-156094615E67476AB099D9F46F6C0655,Jussara,GO,"POLYGON ((-51.27255063299181 -15.919818440871657, -51.27072275044185 -15.930505774263132, -51.26860403500426 -15.930051430228685, -51.257777253642686 -15.939016897048859, -51.25817777787341 -15.940740964356221, -51.258530496527996 -15.942267736027093, -51.256885870759156 -15.942173964009234, -51.25697738171585 -15.94697114084077, -51.25728758441258 -15.947543027674056, -51.257043717657695 -15.949386292994408, -51.257788644440105 -15.953418411326505, -51.259776744103995 -15.954366077753251, -51.270805027690116 -15.952207035883555, -51.27377285923432 -15.955654901703546, -51.27988214054492 -15.963066120693098, -51.28063457102856 -15.962322385068306, -51.280826583703345 -15.962039080924837, -51.28147114905025 -15.961347555540376, -51.28213630110465 -15.96034573591275, -51.282477254860424 -15.959990183436718, -51.28263451619522 -15.959717771702872, -51.2834058873216 -15.959036108965579, -51.283937277989025 -15.957950565150266, -51.28394184365624 -15.957675822370849, -51.2845972877198 -15.956963209321955, -51.28536062618384 -15.95656026480771, -51.286231782730034 -15.95627958096781, -51.287071962607556 -15.955967836051475, -51.28803514793368 -15.955746688749388, -51.28920903477965 -15.9553216653926, -51.29010791563264 -15.955028814700945, -51.29106701851198 -15.95470387604992, -51.29157701341045 -15.954625981754806, -51.291805050259576 -15.95458562421444, -51.29260558972774 -15.954399572653761, -51.293397854058476 -15.95430718757595, -51.29470590744905 -15.954011771391185, -51.29569240644651 -15.954217082497776, -51.29695003079177 -15.954769979047027, -51.29766732700571 -15.95541980476045, -51.29826370707799 -15.956193105906431, -51.29773829947309 -15.953174261882253, -51.295597363535734 -15.948789649215014, -51.29709365992091 -15.944051614332917, -51.29729246646796 -15.942952664086441, -51.29729345026639 -15.942950732990901, -51.297712654810944 -15.942127873674693, -51.30027568656111 -15.933988526464857, -51.300698408202805 -15.932814677573237, -51.30355523054757 -15.92374272485066, -51.293066600917435 -15.920644886555236, -51.29232861055717 -15.920447269785791, -51.291773391319005 -15.920332123108077, -51.29103271970963 -15.920217315498002, -51.29064465974299 -15.920178512608874, -51.290155242138646 -15.920147348806662, -51.28721386775285 -15.920082484878, -51.28105367965538 -15.919978853628319, -51.27255063299181 -15.919818440871657))"
GO-5212204-162DBAFE85134130B3480CF2ED130BFA,Jussara,GO,"POLYGON ((-51.32061861 -15.83396278, -51.32061611 -15.83401139, -51.3204 -15.83418778, -51.32017694 -15.83418083, -51.32006056 -15.83417722, -51.31991389 -15.83433111, -51.3095034153 -15.8452618808, -51.310972477 -15.8472114257, -51.312855 -15.84536, -51.32147111 -15.83641972, -51.32087694 -15.83597889, -51.3226575 -15.83413028, -51.32258333 -15.83406583, -51.32249417 -15.83410694, -51.32231278 -15.8341, -51.32224222 -15.83424222, -51.32211389 -15.83424111, -51.32196444 -15.83407806, -51.321855 -15.83408417, -51.32174028 -15.83401, -51.32170083 -15.83419667, -51.32143306 -15.83408611, -51.32126528 -15.83403139, -51.3208825 -15.83414972, -51.32061861 -15.83396278))"
GO-5212204-16833B91FD32494C864B458F765C0755,Jussara,GO,"POLYGON ((-51.338725090026855 -15.783250952272434, -51.337995529174805 -15.773876241518849, -51.33609408743337 -15.77356499419393, -51.33542060852051 -15.773463248699837, -51.334969997406006 -15.774722874168921, -51.33439064025879 -15.776870414307131, -51.33374691009521 -15.779224422562079, -51.33692264556885 -15.779802595847764, -51.336472034454346 -15.782094623720686, -51.33542060852051 -15.786988326224808, -51.336064338684075 -15.787215457226939, -51.3368797302246 -15.79120053248102, -51.335077285766594 -15.79566042012266, -51.3361930847168 -15.79669278752471, -51.33778095245361 -15.787483884446706, -51.3381028175354 -15.786513415125055, -51.33949756622314 -15.78345743881972, -51.338725090026855 -15.783250952272434))"
