input_row,submission_key,supplied_cod_imovel,resolved_cod_imovel,resolution_method,match_score,resolution_candidate_count,resolution_status,axes_repaired
1,70411b9723a74e2fc2fcf1526795ae8c,GO-5207600-E22FF9A4A75344D3994CB002B90B6686,GO-5207600-E22FF9A4A75344D3994CB002B90B6686,id_exact,1.0,1,resolved,false
2,53d0fb0907a4350244c029edafaf4374,GO-5212204-011050C9BC804D77A80A4F161A120C5A,GO-5212204-011050C9BC804D77A80A4F161A120C5A,id_exact,1.0,1,resolved,false
3,90434153707ba3f972feba024430cd5d,GO-5212204-0E3C72FBAFCA4422AE312548AA7331C0,GO-5212204-0E3C72FBAFCA4422AE312548AA7331C0,id_exact,1.0,1,resolved,false
4,560216e25f9e3131957e7119dc44140c,GO-5212204-0F4C0661AD054C0883A19B9670A7A0F0,GO-5212204-0F4C0661AD054C0883A19B9670A7A0F0,id_exact,1.0,1,resolved,false
5,e45fb693dc2a59305e6049084ae7b6d8,GO-5212204-118F8241E57F4C21AF20F2486C2316F9,GO-5212204-118F8241E57F4C21AF20F2486C2316F9,id_exact,1.0,1,resolved,false
6,cdf52031f0ed51e5c02f1a39db7191a0,GO-5212204-1388D04145DA42C49E1692A41D96CDB5,GO-5212204-1388D04145DA42C49E1692A41D96CDB5,id_exact,1.0,1,resolved,false
7,3b29b20e27b74f41e59f69168ff65a8f,,GO-5212204-15108D4D7C134B8D9E71E50A2ED2E605,point_containment,1.0,1,resolved,false
8,28dcd44e21e8700bf217cdc85f7bfea4,GO-5212204-156094615E67476AB099D9F46F6C0655,GO-5212204-156094615E67476AB099D9F46F6C0655,id_exact,1.0,1,resolved,false
9,70d0f3ff633ef606542357b5ceb2947c,GO-5212204-162DBAFE85134130B3480CF2ED130BFA,GO-5212204-162DBAFE85134130B3480CF2ED130BFA,id_exact,1.0,1,resolved,false
10,00478c7a201ac85b6c17b36ed2b025ee,GO-5212204-16833B91FD32494C864B458F765C0755,GO-5212204-16833B91FD32494C864B458F765C0755,id_exact,1.0,1,resolved,false
11,05836528b88de209c45d59f1008b9ab2,GO-5212204-1C88EF1B3499490DB39608D89AA62FA5,GO-5212204-1C88EF1B3499490DB39608D89AA62FA5,id_exact,1.0,1,resolved,false
12,1ce72306b085a66540079b9cd6d9092c,GO-5212204-1E2963990BB04DAF9B1A8E86549F116C,GO-5212204-1E2963990BB04DAF9B1A8E86549F116C,id_exact,1.0,1,resolved,false
13,9a821207526766ef7504a3cf99da8417,GO-5212204-20FBD72E32A74011BE0C063F4C507E80,GO-5212204-20FBD72E32A74011BE0C063F4C507E80,id_exact,1.0,1,resolved,false
14,f9045e338ec2a276dda6fbf7c6ce5a00,GO-5212204-230E3EB4EA894130A1CF632779C35DF4,GO-5212204-230E3EB4EA894130A1CF632779C35DF4,id_exact,1.0,1,resolved,false
15,add799edefa272f898735ba9c8347c6a,GO-5212204-24550295C0BD4B61B04260CF073F0784,GO-5212204-24550295C0BD4B61B04260CF073F0784,id_exact,1.0,1,resolved,false
16,22358c6d7ed430e529373b33ad723d99,GO-5212204-24978B3823B34D09AA76633A5DD8CFE2,GO-5212204-24978B3823B34D09AA76633A5DD8CFE2,id_exact,1.0,1,resolved,false
17,b114b4f7b02ff710cc7b78733830fb0d,GO-5212204-27018A8454A847469C4A947E06A1A23E,GO-5212204-27018A8454A847469C4A947E06A1A23E,id_exact,1.0,1,resolved,false
