property_key,cod_imovel,municipio,cod_estado,input_rows,input_row_count,resolution_status,resolution_method,axes_repaired,matched_field_count,relevant_field_count,loss_field_count,dominant_mbmode24,dominant_class,dominant_class_area_ha,post2020_loss_ha,follow_up_required,assessment_status,applicable_delivery_tiers,contact_entity_id,contact_entity_type,contact_tier,contact_evidence_basis,contact_evidence_value,contact_distance_m,facility_override,contact_selection_status,unsupported_class_field_count
GO-5212204-8F9A53F42FEE4187BBBC3E66F68CEEBE,GO-5212204-8F9A53F42FEE4187BBBC3E66F68CEEBE,Jussara,GO,62,1,resolved,id_exact,false,5,5,2,39,Soybean,531.717,46.944,true,flagged_post2020_loss,intake_point,5212204,cooperative,membership_muni,observed,105.0,,false,default_membership_no_qualifying_override,0
GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,GO-5212204-2B296F3D835C44D7BF1AD385C1D519A9,Jussara,GO,22,1,resolved,id_exact,false,28,28,12,15,Pasture,421.747,29.501,true,flagged_post2020_loss,slaughter_point,5212204,cooperative,membership_muni,observed,105.0,,false,default_membership_no_qualifying_override,0
GO-5212204-67B7F23029D24ACFAC7656714A14C2DB,GO-5212204-67B7F23029D24ACFAC7656714A14C2DB,Jussara,GO,45,1,resolved,id_exact,false,12,12,5,21,Mosaic of Uses,540.879,13.314,true,flagged_post2020_loss,slaughter_point,5212204,cooperative,membership_muni,observed,105.0,,false,default_membership_no_qualifying_override,0
GO-5212204-5A626DA1611C4A4885618BD646CF0010,GO-5212204-5A626DA1611C4A4885618BD646CF0010,Jussara,GO,39,1,resolved,id_exact,false,74,74,2,15,Pasture,1543.944,10.838,true,flagged_post2020_loss,slaughter_point,5212204,cooperative,membership_muni,observed,105.0,,false,default_membership_no_qualifying_override,0
GO-5219258-E7F86639E6404DC4AD9B8DBFAFFB112B,GO-5219258-E7F86639E6404DC4AD9B8DBFAFFB112B,Santa Fe de Goias,GO,117,1,resolved,id_exact,false,14,14,2,15,Pasture,183.924,3.12,true,flagged_post2020_loss,slaughter_point,5219258,cooperative,membership_muni,observed,20.0,,false,default_membership_no_qualifying_override,0
GO-5212204-3EC9EBA0E8B64C978796D37DE35E549F,GO-5212204-3EC9EBA0E8B64C978796D37DE35E549F,Jussara,GO,29,1,resolved,id_exact,false,7,7,2,15,Pasture,279.527,3.004,true,flagged_post2020_loss,slaughter_point,5212204,cooperative,membership_muni,observed,105.0,,false,default_membership_no_qualifying_override,0
GO-5212204-BC0DD19983DE40DDA0F0E5BF93136C61,GO-5212204-BC0DD19983DE40DDA0F0E5BF93136C61,Jussara,GO,79,1,resolved,id_exact,false,22,22,2,15,Pasture,430.036,2.858,true,flagged_post2020_loss,slaughter_point,5212204,cooperative,membership_muni,observed,105.0,,false,default_membership_no_qualifying_override,0
GO-5219258-D8B970A69F30415F9FDEE84663A2210B,GO-5219258-D8B970A69F30415F9FDEE84663A2210B,Santa Fe de Goias,GO,116,1,resolved,id_exact,false,16,16,2,15,Pasture,886.032,1.615,true,flagged_post2020_loss,slaughter_point,5484,buyer,slaughter_point,observed,0.0,7959.6,true,nearby_routed_facility_override,0
GO-5212204-B09F3674DFFF46D7AB8D2101F77AFC10,GO-5212204-B09F3674DFFF46D7AB8D2101F77AFC10,Jussara,GO,76,1,resolved,id_exact,false,2,2,1,15,Pasture,34.311,1.199,true,flagged_post2020_loss,slaughter_point,5212204,cooperative,membership_muni,observed,105.0,,false,default_membership_no_qualifying_override,0
GO-5212204-59B661AA7FEB45408462F5CD9717FC56,GO-5212204-59B661AA7FEB45408462F5CD9717FC56,Jussara,GO,37,1,resolved,id_exact,false,6,6,1,15,Pasture,585.31,0.604,true,flagged_post2020_loss,slaughter_point,5212204,cooperative,membership_muni,observed,105.0,,false,default_membership_no_qualifying_override,0
GO-5212204-8AE07816A270436D856E6EC821DE0A7B,GO-5212204-8AE07816A270436D856E6EC821DE0A7B,Jussara,GO,58,1,resolved,id_exact,false,3,3,2,15,Pasture,46.979,0.486,true,flagged_post2020_loss,slaughter_point,5212204,cooperative,membership_muni,observed,105.0,,false,default_membership_no_qualifying_override,0
GO-5212204-BCCDDA00F01E4C72BA80402253DCB38A,GO-5212204-BCCDDA00F01E4C72BA80402253DCB38A,Jussara,GO,81,1,resolved,id_exact,false,7,7,1,15,Pasture,161.638,0.465,true,flagged_post2020_loss,slaughter_point,5212204,cooperative,membership_muni,observed,105.0,,false,default_membership_no_qualifying_override,0
GO-5212204-156094615E67476AB099D9F46F6C0655,GO-5212204-156094615E67476AB099D9F46F6C0655,Jussara,GO,8,1,resolved,id_exact,false,22,22,1,15,Pasture,1092.19,0.312,true,flagged_post2020_loss,slaughter_point,5212204,cooperative,membership_muni,observed,105.0,,false,default_membership_no_qualifying_override,0
GO-5212204-50D789C6D210454F80F32B313D791784,GO-5212204-50D789C6D210454F80F32B313D791784,Jussara,GO,33,1,resolved,id_exact,false,6,6,1,15,Pasture,827.776,0.276,true,flagged_post2020_loss,slaughter_point,5212204,cooperative,membership_muni,observed,105.0,,false,default_membership_no_qualifying_override,0
GO-5212204-89767A2A870E408092A410DDBAFF342D,GO-5212204-89767A2A870E408092A410DDBAFF342D,Jussara,GO,56,1,resolved,id_exact,false,4,4,1,15,Pasture,62.562,0.087,true,flagged_post2020_loss,slaughter_point,5212204,cooperative,membership_muni,observed,105.0,,false,default_membership_no_qualifying_override,0
GO-5212204-5EA91F9370294F8F8F9447882810DD0B,GO-5212204-5EA91F9370294F8F8F9447882810DD0B,Jussara,GO,41,1,resolved,id_exact,false,42,42,1,15,Pasture,1437.347,0.082,true,flagged_post2020_loss,slaughter_point,5484,buyer,slaughter_point,observed,0.0,9611.4,true,nearby_routed_facility_override,0
GO-5212204-294B806F6169468E98BB3456EC5158A4,GO-5212204-294B806F6169468E98BB3456EC5158A4,Jussara,GO,20,1,resolved,id_exact,false,4,4,1,15,Pasture,558.717,0.049,true,flagged_post2020_loss,slaughter_point,5212204,cooperative,membership_muni,observed,105.0,,false,default_membership_no_qualifying_override,0
GO-5212204-5A18ED37BE2448B2BF618ECD096BF499,GO-5212204-5A18ED37BE2448B2BF618ECD096BF499,Jussara,GO,38,1,resolved,id_exact,false,5,5,1,15,Pasture,202.391,0.048,true,flagged_post2020_loss,slaughter_point,5212204,cooperative,membership_muni,observed,105.0,,false,default_membership_no_qualifying_override,0
GO-5207600-E22FF9A4A75344D3994CB002B90B6686,GO-5207600-E22FF9A4A75344D3994CB002B90B6686,Fazenda Nova,GO,"1, 118",2,resolved,id_exact,false,2,2,0,15,Pasture,58.025,0.0,false,no_post2020_loss,slaughter_point,,,,,,,false,not_applicable,0
GO-5212204-011050C9BC804D77A80A4F161A120C5A,GO-5212204-011050C9BC804D77A80A4F161A120C5A,Jussara,GO,2,1,resolved,id_exact,false,1,1,0,15,Pasture,15.416,0.0,false,no_post2020_loss,slaughter_point,,,,,,,false,not_applicable,0
GO-5212204-0E3C72FBAFCA4422AE312548AA7331C0,GO-5212204-0E3C72FBAFCA4422AE312548AA7331C0,Jussara,GO,3,1,resolved,id_exact,false,0,0,0,,,,0.0,false,no_matched_fields,none,,,,,,,false,not_applicable,0
GO-5212204-0F4C0661AD054C0883A19B9670A7A0F0,GO-5212204-0F4C0661AD054C0883A19B9670A7A0F0,Jussara,GO,4,1,resolved,id_exact,false,4,4,0,15,Pasture,51.425,0.0,false,no_post2020_loss,slaughter_point,,,,,,,false,not_applicable,0
GO-5212204-118F8241E57F4C21AF20F2486C2316F9,GO-5212204-118F8241E57F4C21AF20F2486C2316F9,Jussara,GO,5,1,resolved,id_exact,false,2,2,0,15,Pasture,92.285,0.0,false,no_post2020_loss,slaughter_point,,,,,,,false,not_applicable,0
GO-5212204-1388D04145DA42C49E1692A41D96CDB5,GO-5212204-1388D04145DA42C49E1692A41D96CDB5,Jussara,GO,6,1,resolved,id_exact,false,1,1,0,15,Pasture,7.706,0.0,false,no_post2020_loss,slaughter_point,,,,,,,false,not_applicable,0
GO-5212204-15108D4D7C134B8D9E71E50A2ED2E605,GO-5212204-15108D4D7C134B8D9E71E50A2ED2E605,Jussara,GO,7,1,resolved,point_containment,false,42,42,0,15,Pasture,3096.006,0.0,false,no_post2020_loss,slaughter_point,,,,,,,false,not_applicable,0
GO-5212204-162DBAFE85134130B3480CF2ED130BFA,GO-5212204-162DBAFE85134130B3480CF2ED130BFA,Jussara,GO,9,1,resolved,id_exact,false,2,2,0,15,Pasture,34.323,0.0,false,no_post2020_loss,slaughter_point,,,,,,,false,not_applicable,0
GO-5212204-16833B91FD32494C864B458F765C0755,GO-5212204-16833B91FD32494C864B458F765C0755,Jussara,GO,10,1,resolved,id_exact,false,2,2,0,15,Pasture,47.097,0.0,false,no_post2020_loss,slaughter_point,,,,,,,false,not_applicable,0
GO-5212204-1C88EF1B3499490DB39608D89AA62FA5,GO-5212204-1C88EF1B3499490DB39608D89AA62FA5,Jussara,GO,11,1,resolved,id_exact,false,1,1,0,21,Mosaic of Uses,13.091,0.0,false,no_post2020_loss,slaughter_point,,,,,,,false,not_applicable,0
